Question,Segment_Type,Segment_Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,Tufts University,Facebook,4,0.4
What social platform has influenced your online shopping most?,University,Tufts University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Texas Tech University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Texas Tech University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Kansas State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Kansas State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Georgia,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Georgia,Twitter,0,0
What social platform has influenced your online shopping most?,University,Ohio University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Ohio University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Washington State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Washington State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Binghamtom University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Binghamtom University,Twitter,0,0
What social platform has influenced your online shopping most?,University,George Washington University,Facebook,0,0
What social platform has influenced your online shopping most?,University,George Washington University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Alabama,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Alabama,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Florida,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Florida,Twitter,1,0.333
What social platform has influenced your online shopping most?,University,The College of New Jersey,Facebook,0,0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Twitter,0,0
What social platform has influenced your online shopping most?,University,Florida State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Florida State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Santa Clara University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Santa Clara University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Appalachian State University,Facebook,5,0.172
What social platform has influenced your online shopping most?,University,Appalachian State University,Twitter,3,0.103
What social platform has influenced your online shopping most?,University,Arbroath Academy,Facebook,0,0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Twitter,1,1
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Facebook,0,0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Twitter,0,0
What social platform has influenced your online shopping most?,University,Virginia Tech,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Virginia Tech,Twitter,0,0
What social platform has influenced your online shopping most?,University,Syracuse University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Syracuse University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Facebook,0,0
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Twitter,0,0
What social platform has influenced your online shopping most?,University,Union High School,Facebook,0,0
What social platform has influenced your online shopping most?,University,Union High School,Twitter,0,0
What social platform has influenced your online shopping most?,University,College of William and Mary,Facebook,25,0.287
What social platform has influenced your online shopping most?,University,College of William and Mary,Twitter,2,0.023
What social platform has influenced your online shopping most?,University,Ohio State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Ohio State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Facebook,0,0
What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Twitter,0,0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Facebook,0,0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Twitter,0,0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Facebook,0,0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Twitter,1,1
What social platform has influenced your online shopping most?,University,University of Texas,Facebook,13,0.342
What social platform has influenced your online shopping most?,University,University of Texas,Twitter,0,0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Facebook,0,0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Arizona,Facebook,8,0.157
What social platform has influenced your online shopping most?,University,University of Arizona,Twitter,5,0.098
What social platform has influenced your online shopping most?,University,Coventry University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Coventry University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Facebook,0,0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Twitter,0,0
What social platform has influenced your online shopping most?,University,Colgate University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Colgate University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Northwestern University,Facebook,30,0.261
What social platform has influenced your online shopping most?,University,Northwestern University,Twitter,4,0.035
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Twitter,1,1
What social platform has influenced your online shopping most?,University,University of Michigan,Facebook,12,0.231
What social platform has influenced your online shopping most?,University,University of Michigan,Twitter,2,0.038
What social platform has influenced your online shopping most?,University,Boise State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Boise State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Cornell University,Facebook,35,0.287
What social platform has influenced your online shopping most?,University,Cornell University,Twitter,1,0.008
What social platform has influenced your online shopping most?,University,University of New Hampshire,Facebook,3,0.429
What social platform has influenced your online shopping most?,University,University of New Hampshire,Twitter,1,0.143
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Facebook,0,0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Twitter,0,0
What social platform has influenced your online shopping most?,University,High Point University,Facebook,0,0
What social platform has influenced your online shopping most?,University,High Point University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Minnesota,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Minnesota,Twitter,0,0
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Facebook,14,0.187
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Twitter,5,0.067
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Twitter,0,0
What social platform has influenced your online shopping most?,University,Illinois State,Facebook,3,0.25
What social platform has influenced your online shopping most?,University,Illinois State,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Guelph,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Guelph,Twitter,0,0
What social platform has influenced your online shopping most?,University,Queens University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Queens University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Virginia,Facebook,64,0.25
What social platform has influenced your online shopping most?,University,University of Virginia,Twitter,12,0.047
What social platform has influenced your online shopping most?,University,Villanova University,Facebook,2,1
What social platform has influenced your online shopping most?,University,Villanova University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Centre College,Facebook,0,0
What social platform has influenced your online shopping most?,University,Centre College,Twitter,0,0
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Facebook,3,0.25
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Twitter,1,0.083
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Facebook,26,0.252
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Twitter,7,0.068
What social platform has influenced your online shopping most?,University,Dartmouth College,Facebook,7,0.412
What social platform has influenced your online shopping most?,University,Dartmouth College,Twitter,1,0.059
What social platform has influenced your online shopping most?,University,Purdue University,Facebook,1,0.059
What social platform has influenced your online shopping most?,University,Purdue University,Twitter,1,0.059
What social platform has influenced your online shopping most?,University,San Diego State University,Facebook,24,0.142
What social platform has influenced your online shopping most?,University,San Diego State University,Twitter,13,0.077
What social platform has influenced your online shopping most?,University,Michigan State University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Michigan State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Butler University,Facebook,9,0.273
What social platform has influenced your online shopping most?,University,Butler University,Twitter,5,0.152
What social platform has influenced your online shopping most?,University,Indiana University,Facebook,18,0.225
What social platform has influenced your online shopping most?,University,Indiana University,Twitter,10,0.125
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Facebook,12,0.3
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Twitter,1,0.025
What social platform has influenced your online shopping most?,University,University of Missouri,Facebook,4,0.167
What social platform has influenced your online shopping most?,University,University of Missouri,Twitter,4,0.167
What social platform has influenced your online shopping most?,University,Texas Christian University,Facebook,5,0.217
What social platform has influenced your online shopping most?,University,Texas Christian University,Twitter,3,0.13
What social platform has influenced your online shopping most?,University,Truman State University,Facebook,18,0.36
What social platform has influenced your online shopping most?,University,Truman State University,Twitter,2,0.04
What social platform has influenced your online shopping most?,University,University of Illinois,Facebook,18,0.209
What social platform has influenced your online shopping most?,University,University of Illinois,Twitter,7,0.081
What social platform has influenced your online shopping most?,University,University of Washington,Facebook,12,0.245
What social platform has influenced your online shopping most?,University,University of Washington,Twitter,2,0.041
What social platform has influenced your online shopping most?,University,University of North Carolina,Facebook,14,0.241
What social platform has influenced your online shopping most?,University,University of North Carolina,Twitter,5,0.086
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Facebook,4,0.222
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Twitter,2,0.111
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Facebook,1,1
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Twitter,0,0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of California Riverside,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of California Riverside,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Iowa,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Iowa,Twitter,1,1
What social platform has influenced your online shopping most?,University,University of California Irvine,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of California Irvine,Twitter,0,0
What social platform has influenced your online shopping most?,University,"University of California, Davis",Facebook,0,0
What social platform has influenced your online shopping most?,University,"University of California, Davis",Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Waterloo,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Waterloo,Twitter,0,0
What social platform has influenced your online shopping most?,University,Grand Valley State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Grand Valley State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Baylor University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Baylor University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Southern Methodist University,Facebook,3,0.214
What social platform has influenced your online shopping most?,University,Southern Methodist University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Blinn College,Facebook,1,1
What social platform has influenced your online shopping most?,University,Blinn College,Twitter,0,0
What social platform has influenced your online shopping most?,University,Texas A&M University,Facebook,7,0.2
What social platform has influenced your online shopping most?,University,Texas A&M University,Twitter,3,0.086
What social platform has influenced your online shopping most?,University,Wellesley College,Facebook,0,0
What social platform has influenced your online shopping most?,University,Wellesley College,Twitter,0,0
What social platform has influenced your online shopping most?,University,Central Washington University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Central Washington University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Stellenbosch University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Stellenbosch University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Facebook,0,0
What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Twitter,0,0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Kennesaw State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Newcastle University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Newcastle University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of West Georgia ,Facebook,1,1
What social platform has influenced your online shopping most?,University,University of West Georgia ,Twitter,0,0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Azusa Pacific University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Connecticut,Facebook,1,1
What social platform has influenced your online shopping most?,University,University of Connecticut,Twitter,0,0
What social platform has influenced your online shopping most?,University,Boston University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Boston University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Colorado State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Colorado State University,Twitter,1,1
What social platform has influenced your online shopping most?,University,Clemson University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Clemson University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Rochester,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Rochester,Twitter,0,0
What social platform has influenced your online shopping most?,University,James Madison University,Facebook,0,0
What social platform has influenced your online shopping most?,University,James Madison University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Stephen F. Austin State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Facebook,0,0
What social platform has influenced your online shopping most?,University,Loyola University Maryland,Twitter,0,0
What social platform has influenced your online shopping most?,University,Michigan Technological University,Facebook,1,1
What social platform has influenced your online shopping most?,University,Michigan Technological University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Texas State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Texas State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Tennessee at Chattanooga,Twitter,0,0
What social platform has influenced your online shopping most?,University,Seton Hall University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Seton Hall University,Twitter,1,0.5
What social platform has influenced your online shopping most?,University,Roger Williams University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Roger Williams University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Elon University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Elon University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,Facebook,0,0
What social platform has influenced your online shopping most?,University,Emily Carr University of Art and Design,Twitter,1,1
What social platform has influenced your online shopping most?,University,United States Military Academy,Facebook,0,0
What social platform has influenced your online shopping most?,University,United States Military Academy,Twitter,0,0
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,Facebook,0,0
What social platform has influenced your online shopping most?,University,Indiana University of Pennsylvania,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Tampa,Facebook,1,1
What social platform has influenced your online shopping most?,University,University of Tampa,Twitter,0,0
What social platform has influenced your online shopping most?,University,Essex Technical High School,Facebook,0,0
What social platform has influenced your online shopping most?,University,Essex Technical High School,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of North Carolina at Greensboro,Twitter,0,0
What social platform has influenced your online shopping most?,University,Pinnacle High School,Facebook,0,0
What social platform has influenced your online shopping most?,University,Pinnacle High School,Twitter,0,0
What social platform has influenced your online shopping most?,University,Baltimore City College,Facebook,0,0
What social platform has influenced your online shopping most?,University,Baltimore City College,Twitter,0,0
What social platform has influenced your online shopping most?,University,New York University,Facebook,0,0
What social platform has influenced your online shopping most?,University,New York University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,Facebook,0,0
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,Twitter,0,0
What social platform has influenced your online shopping most?,University,Loyola Marymount University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Loyola Marymount University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Dayton,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Dayton,Twitter,0,0
What social platform has influenced your online shopping most?,University,UMass Amherst,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,UMass Amherst,Twitter,0,0
What social platform has influenced your online shopping most?,University,Brock University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Brock University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Kutztown University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Kutztown University,Twitter,1,1
What social platform has influenced your online shopping most?,University,University of Mississippi,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Mississippi,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Mount Union,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Mount Union,Twitter,0,0
What social platform has influenced your online shopping most?,University,Duke University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Duke University,Twitter,1,0.5
What social platform has influenced your online shopping most?,University,Shippensburg University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Shippensburg University,Twitter,1,1
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Tall",Facebook,54,0.184
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Tall",Twitter,17,0.058
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Medium (Â± 3 inches)",Facebook,95,0.153
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Medium (Â± 3 inches)",Twitter,52,0.084
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Short",Facebook,40,0.18
What social platform has influenced your online shopping most?,Custom,"guys, 5'5"" girls) Short",Twitter,21,0.095
What social platform has influenced your online shopping most?,Custom,or private school? Private,Facebook,61,0.169
What social platform has influenced your online shopping most?,Custom,or private school? Private,Twitter,20,0.055
What social platform has influenced your online shopping most?,Custom,"games a lot? Yes, console mostly",Facebook,20,0.135
What social platform has influenced your online shopping most?,Custom,"games a lot? Yes, console mostly",Twitter,22,0.149
What social platform has influenced your online shopping most?,Custom,your parents make? Upper class (> $240K),Facebook,70,0.23
What social platform has influenced your online shopping most?,Custom,your parents make? Upper class (> $240K),Twitter,13,0.043
What social platform has influenced your online shopping most?,Custom,your parents make? Upper-middle class (~$160K,Facebook,71,0.157
What social platform has influenced your online shopping most?,Custom,your parents make? Upper-middle class (~$160K,Twitter,42,0.093
What social platform has influenced your online shopping most?,Custom,your parents make? Middle / lower-middle class (~$90K),Facebook,41,0.121
What social platform has influenced your online shopping most?,Custom,your parents make? Middle / lower-middle class (~$90K),Twitter,32,0.094
What social platform has influenced your online shopping most?,Custom,your parents make? Poor (< ~$50K) ðŸ˜,Facebook,15,0.112
What social platform has influenced your online shopping most?,Custom,your parents make? Poor (< ~$50K) ðŸ˜,Twitter,10,0.075
What social platform has influenced your online shopping most?,Custom,What's your major? ME/EE/other engineer,Facebook,40,0.183
What social platform has influenced your online shopping most?,Custom,What's your major? ME/EE/other engineer,Twitter,14,0.064
